ཨང།,ཆོས་མཚན།,ཆོས་མཚན,Is Derge,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,མཚན་གཅིག་གྱུར།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།
2,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ,,1-1,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,178-187,ཀ73ན-77བ,ཀ63བ-67བ,10
3,དཔེ་མེད་པར་བསྟོད་པ།,དཔེ་མེད་པར་བསྟོད་པ,,1-2,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,190-193,ཀ77བ-79ན,ཀ67བ-68བ,11
4,འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།,འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ,,1-3,བསྟོད་ཚོགས་ཀ 1,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,195-198,ཀ79བ-80བ,ཀ68བ-69བ,12
5,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ,,1-4,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,199-200,ཀ80བ-80བ,ཀ69བ-70ན,13
6,དོན་དམ་པར་བསྟོད་པ།,དོན་དམ་པར་བསྟོད་པ,,1-5,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,201-202,ཀ81ན-81བ,ཀ70ན-70བ,14
7,སྐུ་གསུམ་བསྟོད་པ།,སྐུ་གསུམ་བསྟོད་པ,,1-6,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,204-206,ཀ81བ-82ན,ཀ70བ-71ན,15
8,སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།,སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ,,1-7,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,207-216,ཀ82ན-86ན,ཀ71ན-74བ,16
9,སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ།,སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ,,1-8,བསྟོད་ཚོགས་ཀ 1,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,217-220,ཀ86ན-87བ,ཀ74བ-75བ,17
10,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ།,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ,,1-9,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,224-227,ཀ87བ-88བ,ཀ76ན-76བ,19
11,བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།,བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ,,1-10,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,228-234,ཀ88བ-91ན,ཀ76བ-79ན,20
12,བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ།,བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ,,1-11,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,235-238,ཀ91ན-92ན,ཀ79ན-79བ,21
13,བླ་ན་མེད་པའི་བསྟོད་པ།,བླ་ན་མེད་པའི་བསྟོད་པ,,1-12,བསྟོད་ཚོགས་ཀ 1,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,239-241,ཀ92ན-92བ,ཀ79བ-80ན,22
14,འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།,འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ,,1-17,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,242-244,ཀ92བ-93ན,ཀ80ན-80བ,23
15,རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།,རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ,,1-18,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,245-248,ཀ93ན-94ན,ཀ80བ-81བ,24
16,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ,,1-19,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,249-251,ཀ94ན-94བ,ཀ81བ-82ན,25
17,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ,,1-20,བསྟོད་ཚོགས་ཀ 1,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,252-254,ཀ94བ-95བ,ཀ82ན-82བ,26
18,མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ།,མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ,,1-21,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,255-257,ཀ95བ-96ན,ཀ82བ-83ན,27
19,ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ།,ཕྱག་འཚལ་བའི་བསྟོད་པ,,1-22,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,258-260,ཀ96ན-97བ,ཀ83ན-83བ,28
20,དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ།,དམྱལ་བ་ནས་འདོན་པ,,1-23,བསྟོད་ཚོགས་ཀ 1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,261-263,ཀ97ན-97བ,ཀ83ན-84བ,29
21,དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ།,དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ,,1-24,རྒྱུད་ ཇ། 4,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1537-1548,ཝ335བ-341ན,ཇ297ན-301བ,8
22,མཆན་ཁུང་གི་སྦྱོར་བ།,མཆན་ཁུང་གི་སྦྱོར་བ,,1-25,རྒྱུད། ཡ 13,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,187-191,འ89བ-91ན,ཡ72བ-73བ,
23,སྒྲོལ་མའི་སྒྲུབ་ཐབས།,སྒྲོལ་མའི་སྒྲུབ་ཐབས,,1-26,རྒྱུད། ཤ 14,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,843-853,ལ1བ-6བ,ཤ1བ-5བ,
24,ཐུགས་རྗེ་ཆེན་པོ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་སྤྱིའི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ།,ཐུགས་རྗེ་ཆེན་པོ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་སྤྱིའི་མངོན་པར་རྟོགས་པ,,1-27,རྒྱུད། ཤ 14,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,855-857,ལ6བ-7བ,ཤ6ན-6བ,
25,དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ,,1-28,རྒྱུད། ཤ 14,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1367-1370,ཟུ254ན-256ན,ཤ156ན-158ན,
26,དཔལ་ནག་པོ་ཆེན་པོ་ཡུམ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,དཔལ་ནག་པོ་ཆེན་པོ་ཡུམ་ཅན་གྱི་སྒྲུབ་ཐབས,,1-29,རྒྱུད། ཤ 14,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1617-1625,ལ272བ-275བ,ཤ247བ-250བ,
27,དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས,,1-30,རྒྱུད། ཤ།14,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1627-1629,ལ275བ-276ན,ཤ250བ-251ན,
28,དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།,དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས,,,རྒྱུད། ཤ 14,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1692-1694,ལ292ན-293ན,ཤ267བ-268ན,
29,ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།,ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས,,1-31,རྒྱུད། ཤ 14,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1695-1696,ལ293ན3-293བ2,ཤ268ན3-261བ1,
30,དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།,དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ,,1-32,རྒྱུད། ཤ 14,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1698-1701,ལ293བ-294བ,ཤ268བ-269ན,
31,དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་བརྒྱད་པ་ཞེས་བྱ་བ།,དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་བརྒྱད་པ,,,རྒྱུད། ཤ 14,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1718-1721,ལ299ན-300བ,ཤ272ན-273ན,
32,དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།,དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ,,,རྒྱུད། ཤ 14,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1723-1726,ལ299-ན300བ,ཤ273ན-274ན,
33,རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ,,1-33,རྒྱུད། ཤ 14,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1728-1731,ལ300བ-301བ,ཤ274ན-275ན,
34,དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱུད་འགྲེལ་ཞེས་བྱ་བ།,དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱུད་འགྲེལ,,1-34,རྒྱུད། ས། 15,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,3-677,ཤ1བ-339བ,ས1བ-283བ,
35,ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ,,1-35,རྒྱུད། ས། 15,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,719-819,ཤ339བ-390ན,ས284ན-324ན,
36,སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ,,1-36,རྒྱུད། ངི། 18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,3-25,གི1བ-12ན,ངི1བ-11ན,
37,རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་བསྐྱེད་པའི་རིམ་པ་བསྒོམ་པའི་ཐབས་མདོ་དང་བསྲེས་པ་ཞེས་བྱ་བ།,རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་བསྐྱེད་པའི་རིམ་པ་བསྒོམ་པའི་ཐབས་མདོ་དང་བསྲེས་པ,,1-37,རྒྱུད། ངི 18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,28-39,གི12ན-17ན,ངི11ན-15བ,
38,དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ།,དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,,1-38,རྒྱུད། ངི 18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,41-92,གི17ན-39བ,ངི15བ-35ན,
39,དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ།,དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ,,1-39,རྒྱུད། ངི 18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,98-106,གི39བ-45བ,ངི35ན-38ན,
40,བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ་ཞེས་བྱ་བ།,བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ,,1-40,རྒྱུད། ངི 18,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,108-119,གི42བ-48ན,ངི38ན-42བ,
41,བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།,བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ,,1-41,རྒྱུད། ངི 18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,121-128,གི48ན-50བ,ངི42བ-45ན,
42,རིམ་པ་ལྔ་པ།,རིམ་པ་ལྔ་པ,,1-43,རྒྱུད། ངི 18,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,129-158,གི50བ-64ན,ངི45ན-57ན,
43,རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,,1-48,རྒྱུད། ཛི 25,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1245-1260,བི80བ-88ན,ཛི64ན-70ན,
44,ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ་ཞེས་བྱ་བ།,ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ,,1-49,རྒྱུད། ཛི 25,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1263-1273,བི88ན-93ན,ཛི70ན-74ན,
45,དེ་ཁོ་ན་ཉིད་སྒྲོན་མ་ཞེས་བྱ་བ།,དེ་ཁོ་ན་ཉིད་སྒྲོན་མ,,1-50,རྒྱུད། ཛི 25,དགེ་སློང་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1488-1539,བི183ན-209ན,ཛི147བ-168བ,
46,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཐམས་ཅད་རྫོགས་པ་ཞེས་བྱ་བ།,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཐམས་ཅད་རྫོགས་པ,,1-51,རྒྱུད། ཛི 25,སློབ་དཔོན་ནཱ་གཱརྫུ་ན།,༠༡-ཀླུ་སྒྲུབ།,1545-1568,བི209ན-220ན,ཛི168བ-177ན,
47,སྔགས་ཀྱི་རྒྱན་གྱི་སྒྲུབ་ཐབས།,སྔགས་ཀྱི་རྒྱན་གྱི་སྒྲུབ་ཐབས,,1-52,རྒྱུད། ཛི 25,སློབ་དཔོན་ནཱ་གཱརྫུ་ན།,༠༡-ཀླུ་སྒྲུབ།,1571-1575,བི220ན-221བ,ཛི177ན-178བ,
48,རབ་ཏུ་གནས་པའི་རྒྱན།,རབ་ཏུ་གནས་པའི་རྒྱན,,1-53,རྒྱུད། ཛི 25,དགེ་སློང་ནཱ་གཱརྫུ་ན།,༠༡-ཀླུ་སྒྲུབ།,1576-1579,བི221བ-223ན,ཛི178བ-179བ,
49,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཀྱི་མན་ངག་རྒྱ་ཆེར་བཤད་པའི་འགྲེལ་པ།,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཀྱི་མན་ངག་རྒྱ་ཆེར་བཤད་པའི་འགྲེལ་པ,,,རྒྱུད། ཛི 25,ཀླུ་སྒྲུབ་སྙིང་པོ།,༠༡-ཀླུ་སྒྲུབ།,1627-1647,བི228ན-238བ,ཛི194ན-202ན,
50,ཕྱག་རྒྱ་བཞི་གཏན་ལ་དབབ་པ།,ཕྱག་རྒྱ་བཞི་གཏན་ལ་དབབ་པ,,,རྒྱུད། ཝི 26,ཀླུ་སྒྲུབ་སྙིང་པོ།,༠༡-ཀླུ་སྒྲུབ།,211-217,མི82ན-84བ,ཝི77ན-79བ,
51,དངོས་པོ་སྦྱོང་བ་ཞེས་བྱ་བ།,དངོས་པོ་སྦྱོང་བ,,1-54,རྒྱུད། ཞི 26,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1284-1287,ཙི141ན-141བ,ཞི127བ-128ན,
52,ཚིགས་སུ་བཅད་པ་ཕྱེད་དང་ལྔ་ཞེས་བྱ་བ།,ཚིགས་སུ་བཅད་པ་ཕྱེད་དང་ལྔ,,,རྒྱུད། ཞི 26,ཀླུ་སྒྲུབ་སྙིང་པོ།,༠༡-ཀླུ་སྒྲུབ།,1288-1300,ཙི141བ-146ན,ཞི128ན-133ན,
53,ཀླུ་སྒྲུབ་ཀྱི་གླུ།,ཀླུ་སྒྲུབ་ཀྱི་གླུ,,1-139,རྒྱུད། ཟི། 27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,70-71,ཚི12ན3-12ན6,ཟི10ན3-10ན6,
54,རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག་ཅེས་བྱ་བ།,རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག་ཅེས་བྱ་བ,,1-55,རྒྱུད། ཟི 27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,94-96,ཚི30ན-30བ,ཟི14ན-14བ,
55,ཉམས་ཀྱི་མན་ངག་ཐིག་ལེ་གསེར་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ།,ཉམས་ཀྱི་མན་ངག་ཐིག་ལེ་གསེར་གྱི་ཕྲེང་བ,,,རྒྱུད། ཟི 27,སློབ་དཔོན་ཀླུ་སྒྲུབ་སོགས།,༠༡-ཀླུ་སྒྲུབ།,382-390,ཚི104བ-108ན,ཟི83ན-85བ,
56,དབང་གི་རིམ་པ་བསྟན་པ་ཞེས་བྱ་བ།,དབང་གི་རིམ་པ་བསྟན་པ,,,རྒྱུད། ཟི 27,རྗེ་བཙུན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,609-614,འདི་མེད།,ཟི153ན-155ན,
57,ལྟུང་བ་བཅོ་ལྔ་པ།,ལྟུང་བ་བཅོ་ལྔ་པ,,1-140,རྒྱུད། ཟི། 27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,688-689,ཚི220བ3-221ན5,ཟི179བ5-180ན3,
58,ཡན་ལག་གི་ཉེས་པ་བདུན་པ།,ཡན་ལག་གི་ཉེས་པ་བདུན་པ,,1-141,རྒྱུད། ཟི། 27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,690-691,ཚི221ན8-221བ༢,ཟི180ན6-180བ1,
59,རྡོ་རྗེ་ཐེག་པའི་སྦོམ་པོའི་ལྟུང་བ།,རྡོ་རྗེ་ཐེག་པའི་སྦོམ་པོའི་ལྟུང་བ,,1-56,རྒྱུད། ཟི 27,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,692-693,ཚི221བ-221,ཟི180ན-180བ,
60,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོའི་སྒྲུབ་ཐབས།,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོའི་སྒྲུབ་ཐབས,,1-57,རྒྱུད། ཇུ 34,ཀླུ་སྒྲུབ་སྙིང་པོ།,༠༡-ཀླུ་སྒྲུབ།,1397-1402,གུ259ན-261ན,ཇུ243བ-245བ,
61,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་ཆོ་ག་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་འགྲེལ་པ།,འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་ཆོ་ག་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་འགྲེལ་པ,,1-58,རྒྱུད། ཐུ། 36,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,363-378,ཆུ146བ-153བ,ཐུ131བ-137བ,
62,འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ་ཞེས་བྱ་བ།,འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ,,1-59,རྒྱུད། ནུ། 37,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,271-274,ཉུ84ན-85ན,ནུ69ན-70ན,
63,འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས,,1-60,རྒྱུད། ནུ། 37,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,464-484,ཉུ128བ-138ན,ནུ114བ-122བ,
64,འཕགས་པ་འཇིག་རྟེན་དབང་ཕྱུག་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།,འཕགས་པ་འཇིག་རྟེན་དབང་ཕྱུག་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས,,1-61,རྒྱུད། ནུ། 37,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,489-493,ཉུ138ན-139བ,ནུ122བ-123བ,
65,འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས།,འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས,,1-63,རྒྱུད། ནུ། 37,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,697-699,ཉུ222བ-223བ,ནུ191བ-192ན,
66,གོས་སྔོན་པོ་ཅན་གྱི་དངོས་གྲུབ་ཉེ་བ་ཞེས་བྱ་བ།,གོས་སྔོན་པོ་ཅན་གྱི་དངོས་གྲུབ་ཉེ་བ,,1-64,རྒྱུད། ནུ། 37,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,771-773,ཉུ245བ-246ན,ནུ207ན-207བ,
67,གནོད་པ་སེལ་བའི་བདུད་རྩི།,གནོད་པ་སེལ་བའི་བདུད་རྩི,,1-65,རྒྱུད། ནུ། 37,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,775-776,ཉུ246ན-246བ,207བ-208ན,
