ཨང།,ཆོས་མཚན།,ཆོས་མཚན,Is Derge,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,མཚན་གཅིག་གྱུར།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།
444,རྒྱུ་སྐར་རྣམས་ཀྱི་ལས་སྣ་ཚོགས་པ་སྒྲུབ་པར་བྱེད་པ་དུས་འཛིན་བཟང་པོ་ཞེས་བྱ་བ།,རྒྱུ་སྐར་རྣམས་ཀྱི་ལས་སྣ་ཚོགས་པ་སྒྲུབ་པར་བྱེད་པ་དུས་འཛིན་བཟང་པོ,,17-133,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད་བཟང་པོ།,༡༧-ཇོ་བོ་རྗེ།,210-211,ཏུ87བ-88བ,པུ80ན-80བ,
445,ཀླུ་ཆེན་པོ་བརྒྱད་མཆོད་པས་མི་བཟད་པའི་ནད་ཡམས་དྲག་པོ་ལས་ཐར་བར་བྱེད་པ།,ཀླུ་ཆེན་པོ་བརྒྱད་མཆོད་པས་མི་བཟད་པའི་ནད་ཡམས་དྲག་པོ་ལས་ཐར་བར་བྱེད་པ,,17-134,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད་བཟང་པོ།,༡༧-ཇོ་བོ་རྗེ།,213-215,ཏུ89བ-90བ,པུ81བ-82བ,
446,ཀླུ་སྒྲུབ་རིན་པོ་ཆེ་དབྱིག་སྒྲུབ་ཅེས་བྱ་བ།,ཀླུ་སྒྲུབ་རིན་པོ་ཆེ་དབྱིག་སྒྲུབ་ཅེས་བྱ་བ,,17-135,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,216-216,ཏུ90བ-91ན,82བ-83ན,
447,ཀླུའི་གདོན་ལས་གྲོལ་བར་བྱེད་པ་སྦྲུལ་འཛིན་བསང་བ་ཞེས་བྱ་བ།,ཀླུའི་གདོན་ལས་གྲོལ་བར་བྱེད་པ་སྦྲུལ་འཛིན་བསང་བ,,17-136,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད་བཟང་པོ།,༡༧-ཇོ་བོ་རྗེ།,217-220,ཏུ91ན-93ན,པུ83ན-84བ,
448,ཀླུའི་གདོན་ལས་ཐར་བར་བྱེད་པའི་ལས་ཀླུའི་སྲོག་མེ་དབལ་གྱི་འཁོར་ལོ་ཞེས་བྱ་བ་ཀླུའི་རྣམ་པར་འཇོམས་པའི་སྙིང་གཟེར་དུ་བཀོད་པ།,ཀླུའི་གདོན་ལས་ཐར་བར་བྱེད་པའི་ལས་ཀླུའི་སྲོག་མེ་དབལ་གྱི་འཁོར་ལོ་ཞེས་བྱ་བ་ཀླུའི་རྣམ་པར་འཇོམས་པའི་སྙིང་གཟེར་དུ་བཀོད་པ,,17-137,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,221-223,ཏུ93ན-94བ,པུ84བ-85བ,
449,སྒྲ་ལ་གནས་པའི་བསམ་གཏན་ཞེས་བྱ་བ།,སྒྲ་ལ་གནས་པའི་བསམ་གཏན,,17-138,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད་བཟང་པོ།,༡༧-ཇོ་བོ་རྗེ།,230-234,ཏུ97ན-100ན,པུ88ན-90ན,
450,སྒྲ་ལ་མི་གནས་པའི་བསམ་གཏན་ཞེས་བྱ་བ་རྣལ་འབྱོར་པའི་འཁོར་རྐྱེན་དྲུངས་ནས་འདོན་པ།,སྒྲ་ལ་མི་གནས་པའི་བསམ་གཏན་ཞེས་བྱ་བ་རྣལ་འབྱོར་པའི་འཁོར་རྐྱེན་དྲུངས་ནས་འདོན་པ,,17-139,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད་བཟང་པོ།,༡༧-ཇོ་བོ་རྗེ།,235-249,ཏུ100ན-103ན,པུ90ན-92ན,
451,སྒྲ་མཐར་གྱིས་རྣལ་འབྱོར་པའི་ལུས་སེམས་ཀྱི་འབྲེལ་བ་གཅད་པ།,སྒྲ་མཐར་གྱིས་རྣལ་འབྱོར་པའི་ལུས་སེམས་ཀྱི་འབྲེལ་བ་གཅད་པ,,17-140,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད་བཟང་པོ།,༡༧-ཇོ་བོ་རྗེ།,240-245,ཏུ103ན-106ན,པུ92ན-94ན,
452,གཤིན་རྗེ་གཤེད་པོ་སྒྲུབ་པའི་ཐབས།,གཤིན་རྗེ་གཤེད་པོ་སྒྲུབ་པའི་ཐབས,,,རྒྱུད། པུ། 38,སློབ་དཔོན་དཱི་པཾ་ཀ་ར་དང།,༡༧-ཇོ་བོ་རྗེ།,298-300,ཏུ120ན-121བ,པུ105ན-105བ,
453,འཕགས་པ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,འཕགས་པ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས,,17-45,རྒྱུད། པུ། 38,སློབ་དཔོན་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,318-325,ཏུ125བ-129ན,པུ109བ-112བ,
454,དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས,,17-46,རྒྱུད། པུ། 38,སློབ་དཔོན་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,327-329,ཏུ129ན-130ན,པུ112བ-113ན,
455,ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ།,ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ,,17-47,རྒྱུད། པུ། 38,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,341-343,ཏུ133བ-134བ,པུ116ན-116བ,
456,ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ།,ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ,,17-144,རྒྱུད། པུ། 38,མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,344-347,ཏུ134བ1-135བ5,པུ116བ6-117བ7,
457,དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དམ་ཚིག་བསྲུང་བའི་སྒྲུབ་ཐབས།,དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དམ་ཚིག་བསྲུང་བའི་སྒྲུབ་ཐབས,,17-145,རྒྱུད། པུ། 38,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,513-515,ཏུ189བ-190བ,པུ175བ-176ན,
458,སཱཙྪ་ལྔ་གདབ་པའི་ཆོ་ག,སཱཙྪ་ལྔ་གདབ་པའི་ཆོ་ག,,17-146,རྒྱུད། པུ། 38,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,516-517,ཏུ190བ-191ན,པུ176ན-176བ,
459,གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག,གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག,,17-48,རྒྱུད། པུ། 38,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,519-521,ཏུ191ན-192ན,པུ176བ-177ན,
460,གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག,གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག,,17-49,རྒྱུད། པུ། 38,སློབ་དཔོན་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,522-524,ཏུ192ན-192བ,པུ177ན-177བ,
461,སྒྲོལ་མའི་སྒྲུབ་ཐབས།,སྒྲོལ་མའི་སྒྲུབ་ཐབས,,17-53,རྒྱུད། ཕུ། 39,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,627-628,ཐུ250ན4-250བ1,ཕུ202བ4-203ན1,
462,སྒྲོལ་མའི་སྒྲུབ་ཐབས།,སྒྲོལ་མའི་སྒྲུབ་ཐབས,,17-54,རྒྱུད། ཕུ། 39,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,629-630,ཐུ250ན1-250བ8,ཕུ203ན1-203ན6,
463,སྒྲོལ་མའི་སྒྲུབ་ཐབས།,སྒྲོལ་མའི་སྒྲུབ་ཐབས,,17-55,རྒྱུད། ཕུ། 39,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,631-632,ཐུ250བ8-251ན7,ཕུ203ན6-203བ3,
464,སྒྲོལ་མའི་སྒྲུབ་ཐབས།,སྒྲོལ་མའི་སྒྲུབ་ཐབས,,17-56,རྒྱུད། ཕུ། 39,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,633-634,ཐུ251ན7-251བ2,ཕུ203བ4-203བ7,
465,སྒྲོལ་མའི་སྒྲུབ་ཐབས།,སྒྲོལ་མའི་སྒྲུབ་ཐབས,,17-50,རྒྱུད། མུ། 40,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1444-1449,དུ414བ-417བ,མུ315ན-317ན,
466,འཇིགས་པ་བརྒྱད་ལས་སྐྱོབ་པ།,འཇིགས་པ་བརྒྱད་ལས་སྐྱོབ་པ,,,རྒྱུད། མུ། 40,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1467-1469,དུ424བ-425ན,མུ322བ-323ན,
467,འཕགས་མ་ལྷ་མོ་སྒྲོལ་མ་བསྒོམ་པའི་ཆོ་ག་རྒྱས་པ།,འཕགས་མ་ལྷ་མོ་སྒྲོལ་མ་བསྒོམ་པའི་ཆོ་ག་རྒྱས་པ,,17-51,རྒྱུད། མུ། 40,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1451-1465,དུ417བ-424བ,མུ317ན-322བ,
468,འཇིགས་པ་བརྒྱད་ལས་སྐྱོབ་པ།,འཇིགས་པ་བརྒྱད་ལས་སྐྱོབ་པ,,17-52,རྒྱུད། མུ། 40,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1467-1469,དུ424བ2-425ན5,མུ322བ1-323ན1,
469,འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།,འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ,,17-152,རྒྱུད། མུ 40,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,1470-1472,དུ425ན-425བ,མུ323ན-323བ,
470,འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས,,17-153,རྒྱུད། མུ། 40,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1473-1477,དུ426ན-427བ,མུ323བ-324བ,
471,དམ་ཚིག་ཐམས་ཅད་བསྡུས་པ་ཞེས་བྱ་བ།,དམ་ཚིག་ཐམས་ཅད་བསྡུས་པ,,17-57,རྒྱུད། ཚུ 41,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,690-704,ནུ253བ-259བ,ཚུ43ན-49བ,
472,འཕགས་པ་ཚོགས་ཀྱི་བདག་པོ་ཆགས་པ་རྡོ་རྗེའི་དམ་ཚིག་གི་བསྟོད་པ་ཞེས་བྱ་བ།,འཕགས་པ་ཚོགས་ཀྱི་བདག་པོ་ཆགས་པ་རྡོ་རྗེའི་དམ་ཚིག་གི་བསྟོད་པ,,17-58,རྒྱུད། ཚུ 41,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,804-806,ནུ289བ-290ན,ཚུ74བ-75ན,
473,བདུད་རྩི་འབྱུང་བ་ཞེས་བྱ་བའི་གཏོར་མའི་ཆོ་ག,བདུད་རྩི་འབྱུང་བ་ཞེས་བྱ་བའི་གཏོར་མའི་ཆོ་ག,,17-59,རྒྱུད། ཚུ 41,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,1246-1266,ནུ429བ-438ན,ཚུ212བ-220བ,
474,ཆུ་གཏོར་གྱི་ཆོ་ག,ཆུ་གཏོར་གྱི་ཆོ་ག,,17-60,རྒྱུད། ཚུ 41,སློབ་དཔོན་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1269-1272,ནུ438ན-439བ,ཚུ220བ-221བ,
475,ཀླུ་གཏོར་གྱི་ཆོ་ག,ཀླུ་གཏོར་གྱི་ཆོ་ག,,17-61,རྒྱུད། ཚུ 41,སློབ་དཔོན་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1273-1275,ནུ439བ-440ན,ཚུ221བ-222ན,
476,རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས,,,རྒྱུད། ཞུ། 42,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,1220-1221,ཕུ18ན-18བ,འདི་མི་གསལ།,
477,འཕགས་པ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།,འཕགས་པ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས,,1-62,རྒྱུད། ཧུ། 47,སློབ་དཔོན་ཆེན་པོ་དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,50-52,ཟུ122བ-123ན,འདི་མི་གསལ།,
478,གནོད་སྦྱིན་སྡེ་དཔོན་ཆེན་པོ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་ཆེན་པོ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་བསྒྲུབ་ཐབས,,17-64,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,102-111,ཟུ142ན-164ན,འདི་མི་གསལ།,
479,སྔགས་ཀྱི་དོན་འཇུག་པ།,སྔགས་ཀྱི་དོན་འཇུག་པ,,17-62,རྒྱུད། ཧུ 47,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,164-168,ཟུ164བ166ན,འདི་མི་གསལ།,
480,དབང་གི་མན་ངག,དབང་གི་མན་ངག,,17-62,རྒྱུད། ཧུ 47,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,169-172,ཟུ166ན-167ན,འདི་མི་གསལ།,
481,དམ་ཚིག་སྦས་པ།,དམ་ཚིག་སྦས་པ,,17-62,རྒྱུད། ཧུ 47,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,173-176,ཟུ167ན-168ན,འདི་མི་གསལ།,
482,གཞལ་ཡས་ཁང་སྦྱིན་པ།,གཞལ་ཡས་ཁང་སྦྱིན་པ,,17-63,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,177-180,ཟུ168ན-169ན,འདི་མི་གསལ།,
483,ཆུ་གཏོར་གྱི་ཆོ་ག,ཆུ་གཏོར་གྱི་ཆོ་ག,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,181-183,ཟུ169ན-170ན,འདི་མི་གསལ།,
484,སྦྱིན་སྲེག་གི་ཆོ་ག,སྦྱིན་སྲེག་གི་ཆོ་ག,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,184-187,ཟུ170ན-171ན,འདི་མི་གསལ།,
485,ལྷ་མཆོད་པའི་རིམ་པ།,ལྷ་མཆོད་པའི་རིམ་པ,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,188-191,ཟུ171ན-172བ,འདི་མི་གསལ།,
486,ཚེ་བསྒྲུབ་པའི་ཐབས།,ཚེ་བསྒྲུབ་པའི་ཐབས,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,192-194,ཟུ172བ-173བ,འདི་མི་གསལ།,
487,འཆི་བ་སླུ་བ།,འཆི་བ་སླུ་བ,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,195-197,ཟུ173བ-174ན,འདི་མི་གསལ།,
488,འཆི་ཀ་མའི་བསྟན་བཅོས།,འཆི་ཀ་མའི་བསྟན་བཅོས,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,198-201,ཟུ174ན-175བ,འདི་མི་གསལ།,
489,རོ་བསྲེག་པའི་ཆོ་ག,རོ་བསྲེག་པའི་ཆོ་ག,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,202-205,ཟུ175བ-176བ,འདི་མི་གསལ།,
490,བདུན་ཚིགས་ཀྱི་ཆོ་ག,བདུན་ཚིགས་ཀྱི་ཆོ་ག,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,206-209,ཟུ176བ-177བ,འདི་མི་གསལ།,
491,ཚ་ཚྭའི་ཆོ་ག,ཚ་ཚྭའི་ཆོ་ག,,17-62,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,210-213,ཟུ177བ-178བ,འདི་མི་གསལ།,
492,འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།,འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ,,,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,233-235,ཟུ185ན-186ན,འདི་མི་གསལ།,
493,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་པའི་ཐབས།,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་པའི་ཐབས,,17-65,རྒྱུད། ཧུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,332-339,ཟུ243ན-246བ,འདི་མི་གསལ།,
494,ཡེ་ཤེས་མགོན་པོ་གྲི་གུག་ཅན་གྱི་བདག་བསྐྱེད་བཟླས་པ་བསྟོད་པ,ཡེ་ཤེས་མགོན་པོ་གྲི་གུག་ཅན་གྱི་བདག་བསྐྱེད་བཟླས་པ་བསྟོད་པ,,,རྒྱུད། ཨུ 47,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,540-542,འུ14བ-16ན,འདི་མི་གསལ།,
495,ཤིན་ཏུ་མྱུར་བའི་ལྷ་ཆེན་པོ་བགེགས་ཀྱི་རྒྱལ་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,ཤིན་ཏུ་མྱུར་བའི་ལྷ་ཆེན་པོ་བགེགས་ཀྱི་རྒྱལ་པོའི་སྒྲུབ་ཐབས,,,རྒྱུད། ཨུ། 47,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,750-752,འུ93ན-93བ,འདི་མི་གསལ།,
496,དཔལ་ཚོགས་ཀྱི་བདག་པོ་ཞི་བའི་སྒྲུབ་ཐབས།,དཔལ་ཚོགས་ཀྱི་བདག་པོ་ཞི་བའི་སྒྲུབ་ཐབས,,,རྒྱུད། ཨུ 47,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,768-771,འུ97ན-97བ,འདི་མི་གསལ།,
497,ཚོགས་ཀྱི་བདག་པོའི་གསང་བའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,ཚོགས་ཀྱི་བདག་པོའི་གསང་བའི་སྒྲུབ་ཐབས,,,རྒྱུད། ཨུ 47,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,780-783,འུ100བ-102ན,འདི་མི་གསལ།,
498,ནོར་བདག་གཙོ་འཁོར་ལྔའི་བསྟོད་པ་དབྱིག་གི་ཆར་འབེབས་ཞེས་བྱ་བ།,ནོར་བདག་གཙོ་འཁོར་ལྔའི་བསྟོད་པ་དབྱིག་གི་ཆར་འབེབས,,17-66,རྒྱུད། ཨུ། 47,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,829-831,འུ117ན-117བ,འདི་མི་གསལ།,
499,རྟེན་འབྲེལ་སྙིང་པོའི་སྔགས་ཐེམ་ཞིབ་མོར་བཀོད་པ།,རྟེན་འབྲེལ་སྙིང་པོའི་སྔགས་ཐེམ་ཞིབ་མོར་བཀོད་པ,,17-175,རྒྱུད། ཀེ། 47,ཨ་ཏི་ཤ།,༡༧-ཇོ་བོ་རྗེ།,1272-1273,ཡུ210ན4-210བ3,འདི་ཆད་འདུག,
500,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་དོན་བསྡུས་སྒྲོན་མ་ཞེས་བྱ་བ།,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་དོན་བསྡུས་སྒྲོན་མ,,17-67,ཤེས་ཕྱིན། ཐ། 53,དཔལ་མར་མེ་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1318-1341,ཐ253ན5-262ན8,ཐ230བ1-240ན7,
501,ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ,,17-68,ཤེས་ཕྱིན། མ 56,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1634-1645,མ333ན-338བ,མ313ན-317ན,
502,བདེན་པ་གཉིས་ལ་འཇུག་པ།,བདེན་པ་གཉིས་ལ་འཇུག་པ,,17-69,དབུ་མ། ཨ། 63,མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1050-1054,ཧ70ན5-71བ3,ཨ72ན3-73ན7,
503,དྲན་པ་གཅིག་པའི་མན་ངག,དྲན་པ་གཅིག་པའི་མན་ངག,,17-70,དབུ་མ། ཀི 64,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,279-282,ཨ104ན-105ན,ཀི94བ-95བ,
504,དབུ་མའི་མན་ངག་ཅེས་བྱ་བ།,དབུ་མའི་མན་ངག,,17-71,དབུ་མ། ཀི། 64,དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,283-286,ཨ105ན-106བ,ཀི95བ-96ན,
505,དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ་ཞེས་བྱ་བ།,དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ,,17-72,དབུ་མ། ཀི 64,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,287-338,ཨ106བ-132བ,ཀི16བ-116བ,
506,དབུ་མའི་མན་ངག་ཅེས་བྱ་བ།,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ,,17-73,དབུ་མ། ཀི 64,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,342-345,ཨ132བ-133བ,འདི་མི་གསལ།,
507,མདོ་ཀུན་ལས་བཏུས་པའི་དོན་བསྡུས་པ།,མདོ་ཀུན་ལས་བཏུས་པའི་དོན་བསྡུས་པ,,17-74,དབུ་མ། ཀི 64,དཱི་པཾ་ཀ་ར་ཤྲཱི་ཛྙཱ་ན།,༡༧-ཇོ་བོ་རྗེ།,949-954,ཨ395ན-397བ,ཀི338བ-340བ,
508,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་མདོ་ཙམ་གདམས་ངག་ཏུ་བྱས་པ།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་མདོ་ཙམ་གདམས་ངག་ཏུ་བྱས་པ,,17-75,དབུ་མ། ཁི 64,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1636-1639,ཀི273ན-274,ཁི237ན-238ན,
509,བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མ།,བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མ,,17-76,དབུ་མ། ཁི 64,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1641-1648,ཀི274བ-277བ,ཁི238ན-241ན,
510,བྱང་ཆུབ་ལམ་གྱི་སྒྲོལ་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ,,17-77,དབུ་མ། ཁི། 64,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,1650-1775,ཀི277བ-339བ,ཁི241ན-293ན,
